"Latitude.y","Longitude.y","Pot_ID","tow_id","AveTemp","AveDepth","Latitude.x","Longitude.x"
57.731039,-164.271387,"A3","A 3",-1.1,51,57.732,-164.27
57.565218,-164.267652,"A8","A 8",-0.7,55,57.565,-164.266
57.399372,-164.263952,"A13","A13",0,61,57.4,-164.263
57.233499,-164.260286,"A18","A18",0.4,66,57.234,-164.259
57.067599,-164.256654,"A23","A23",1.3,69,57.067,-164.256
56.934858,-164.253772,"A27","A27",1.6,70,56.935,-164.254
56.735711,-164.249489,"A33","A33",1.8,74,56.736,-164.25
56.53652,-164.245252,"A39","A39",2,80,56.537,-164.246
56.4037,-164.242454,"A43","A43",2.3,84,56.405,-164.244
56.337282,-164.241062,"A45","A45",2.3,87,56.337,-164.242
56.270859,-164.239675,"A47","A47",2.4,88,56.271,-164.24
56.071557,-164.235544,"A53","A53",2.8,90,56.072,-164.236
55.872205,-164.231458,"A59","A59",3.9,94,55.873,-164.231
55.739275,-164.228758,"A63","A63",4.3,95,55.739,-164.228
55.672801,-164.227415,"A65","A65",4.1,95,55.673,-164.228
57.749739,-163.803931,"B3","B 3",-1.2,49,57.749,-163.803
57.583911,-163.80238,"B8","B 8",-0.6,50,57.583,-163.801
57.418058,-163.800842,"B13","B13",-0.2,54,57.417,-163.801
57.252179,-163.799319,"B18","B18",0.5,65,57.251,-163.799
57.086272,-163.79781,"B23","B23",1.4,67,57.085,-163.798
56.986714,-163.796911,"B26","B26",1.7,68,56.987,-163.798
56.787567,-163.795128,"B32","B32",2,72,56.788,-163.795
56.588376,-163.793365,"B38","B38",2.3,79,56.589,-163.794
56.455557,-163.7922,"B42","B42",2.5,82,56.456,-163.792
56.38914,-163.791621,"B44","B44",2.6,84,56.39,-163.792
56.322717,-163.791044,"B46","B46",2.8,85,56.323,-163.791
56.123417,-163.789324,"B52","B52",3.1,89,56.124,-163.79
55.924067,-163.787624,"B58","B58",4.2,94,55.924,-163.788
55.791139,-163.7865,"B62","B62",4.3,93,55.792,-163.785
55.724666,-163.785941,"B64","B64",4.4,94,55.725,-163.786
55.658187,-163.785384,"B66","B66",4.1,95,55.658,-163.785
55.392211,-163.783176,"B74","B74",3.4,79,55.392,-163.783
55.292445,-163.782356,"B77","B77",3.3,64,55.292,-163.782
55.159401,-163.781269,"B81","B81",3.2,43,55.159,-163.782
55.092869,-163.780729,"B83","B83",3.1,39,55.093,-163.781
57.783269,-163.33594,"C2","C 2",-0.5,47,57.783,-163.338
57.617445,-163.336576,"C7","C 7",-0.3,47,57.617,-163.338
57.451595,-163.337207,"C12","C12",0.1,51,57.452,-163.337
57.252541,-163.337956,"C18","C18",1.6,57,57.253,-163.338
57.086632,-163.338573,"C23","C23",1.9,65,57.086,-163.338
56.953885,-163.339063,"C27","C27",2.3,66,56.953,-163.339
56.754729,-163.339792,"C33","C33",2.5,72,56.757,-163.34
56.555529,-163.340513,"C39","C39",2.7,81,56.555,-163.339
56.422703,-163.340989,"C43","C43",2.7,83,56.423,-163.339
56.356283,-163.341225,"C45","C45",2.7,85,56.356,-163.341
56.323071,-163.341343,"C46","C46",2.9,85,56.323,-163.342
56.256642,-163.341579,"C48","C48",3,88,56.257,-163.34
56.123769,-163.342047,"C52","C52",3.2,95,56.123,-163.342
56.057324,-163.34228,"C54","C54",3.2,88,56.058,-163.343
55.924417,-163.342743,"C58","C58",3.9,89,55.924,-163.343
55.824722,-163.343089,"C61","C61",4,89,55.825,-163.343
55.525558,-163.344114,"C70","C70",3.3,67,55.525,-163.345
55.425809,-163.344452,"C73","C73",3.2,57,55.426,-163.345
55.292789,-163.3449,"C77","C77",3,48,55.293,-163.344
55.22627,-163.345122,"C79","C79",2.8,51,55.226,-163.346
57.748721,-162.868217,"D3","D 3",-0.6,46,57.748,-162.868
57.582898,-162.871039,"D8","D 8",0,49,57.582,-162.87
57.417049,-162.873835,"D13","D13",0.3,50,57.417,-162.874
57.251174,-162.876605,"D18","D18",0.6,52,57.251,-162.879
57.085272,-162.879349,"D23","D23",1.1,60,57.085,-162.879
56.95253,-162.881527,"D27","D27",1.9,62,56.953,-162.881
56.753381,-162.884763,"D33","D33",2.4,68,56.753,-162.886
56.554187,-162.887964,"D39","D39",2.4,77,56.553,-162.889
56.421367,-162.890079,"D43","D43",2.7,81,56.421,-162.891
56.354948,-162.891131,"D45","D45",2.7,80,56.354,-162.891
56.321737,-162.891655,"D46","D46",2.9,79,56.322,-162.892
56.255311,-162.892701,"D48","D48",2.9,82,56.255,-162.893
56.122442,-162.894782,"D52","D52",3,91,56.122,-162.895
56.056,-162.895816,"D54","D54",3,83,56.055,-162.895
55.923097,-162.897875,"D58","D58",3,83,55.924,-162.898
55.823406,-162.899409,"D61","D61",3,81,55.824,-162.9
55.657224,-162.901947,"D66","D66",2.9,55,55.657,-162.902
55.590741,-162.902957,"D68","D68",2.8,52,55.591,-162.903
57.745584,-162.400426,"E3","E 3",0.5,46,57.745,-162.403
57.579775,-162.405434,"E8","E 8",0.5,47,57.58,-162.406
57.41394,-162.410396,"E13","E13",0.6,50,57.414,-162.412
57.248079,-162.415312,"E18","E18",1.2,54,57.248,-162.417
57.082191,-162.420182,"E23","E23",1.8,59,57.082,-162.422
56.849898,-162.426926,"E30","E30",2.1,66,56.85,-162.43
56.717133,-162.430741,"E34","E34",2.2,74,56.717,-162.433
56.617547,-162.433584,"E37","E37",2.4,68,56.618,-162.434
56.551149,-162.43547,"E39","E39",2.4,76,56.55,-162.436
56.418339,-162.439223,"E43","E43",2.5,76,56.418,-162.439
56.351926,-162.441089,"E45","E45",2.6,79,56.352,-162.441
56.18587,-162.445726,"E50","E50",2.8,78,56.187,-162.445
56.053,-162.449405,"E54","E54",2.9,77,56.053,-162.448
55.953334,-162.452147,"E57","E57",2.8,75,55.954,-162.451
55.886882,-162.453967,"E59","E59",2.7,69,55.887,-162.454
55.753961,-162.457587,"E63","E63",2.3,50,55.754,-162.457
55.687492,-162.459387,"E65","E65",2.1,38,55.688,-162.459
57.740695,-161.932742,"F3","F 3",0.6,47,57.741,-161.929
57.574908,-161.939935,"F8","F 8",0.9,51,57.575,-161.937
57.409096,-161.947061,"F13","F13",1.3,51,57.409,-161.944
57.243256,-161.954121,"F18","F18",1.9,53,57.244,-161.953
57.077389,-161.961116,"F23","F23",1.8,58,57.078,-161.964
56.944675,-161.966665,"F27","F27",2.1,63,56.944,-161.968
56.778755,-161.973545,"F32","F32",2.2,70,56.778,-161.974
56.612804,-161.980363,"F37","F37",2.4,77,56.612,-161.98
56.380419,-161.989804,"F44","F44",2.5,82,56.379,-161.99
56.280806,-161.993813,"F47","F47",2.7,85,56.281,-161.995
56.147969,-161.999126,"F51","F51",2.6,63,56.148,-161.999
56.081542,-162.001768,"F53","F53",2.6,64,56.082,-162.002
55.948672,-162.007024,"F57","F57",2.3,47,55.949,-162.007
55.882228,-162.009637,"F59","F59",1.8,30,55.883,-162.01
57.734056,-161.46521,"G3","G 3",0.8,51,57.736,-161.467
57.568299,-161.474586,"G8","G 8",1.9,52,57.569,-161.476
57.402516,-161.483874,"G13","G13",2.2,56,57.403,-161.484
57.236706,-161.493076,"G18","G18",2.2,60,57.237,-161.487
57.070868,-161.502193,"G23","G23",2.4,66,57.07,-161.488
56.905,-161.511227,"G28","G28",2.8,78,56.903,-161.502
56.739103,-161.520179,"G33","G33",2.8,83,56.738,-161.514
56.606362,-161.527281,"G37","G37",2.5,76,56.606,-161.527
56.407213,-161.537838,"G43","G43",2.5,66,56.407,-161.539
56.208015,-161.548282,"G49","G49",2.4,59,56.208,-161.548
56.075189,-161.555182,"G53","G53",2,45,56.075,-161.556
56.008767,-161.558613,"G55","G55",1.7,33,56.008,-161.557
57.758807,-160.995553,"H3","H 3",1.4,52,57.758,-161.001
57.593093,-161.00713,"H8","H 8",1.6,58,57.593,-161.01
57.427353,-161.018599,"H13","H13",1.6,60,57.427,-161.017
57.261586,-161.029962,"H18","H18",1.9,61,57.262,-161.029
57.09579,-161.04122,"H23","H23",2.1,70,57.095,-161.038
56.929965,-161.052375,"H28","H28",2.3,58,56.93,-161.05
56.76411,-161.063428,"H33","H33",2.3,71,56.765,-161.062
56.730935,-161.065626,"H34","H34",2.4,71,56.731,-161.066
56.664581,-161.070011,"H36","H36",2.3,70,56.665,-161.071
56.531859,-161.078733,"H40","H40",2.3,70,56.532,-161.079
56.46549,-161.083071,"H42","H42",2.3,66,56.465,-161.083
56.332736,-161.091699,"H46","H46",2.3,54,56.332,-161.092
56.233155,-161.098129,"H49","H49",1.9,46,56.232,-161.098
57.715528,-160.53079,"I4","I 4",1.2,57,57.716,-160.532
57.582991,-160.541785,"I8","I 8",1.5,60,57.584,-160.542
57.417297,-160.555414,"I13","I13",1.7,62,57.417,-160.555
57.251574,-160.568917,"I18","I18",1.8,66,57.252,-160.568
57.085823,-160.582296,"I23","I23",2.1,65,57.085,-160.582
56.920042,-160.595552,"I28","I28",2.2,66,56.92,-160.593
56.75423,-160.608687,"I33","I33",2.2,70,56.754,-160.61
56.588386,-160.621702,"I38","I38",2.1,62,56.588,-160.624
56.42251,-160.6346,"I43","I43",1.7,49,56.423,-160.637
56.256599,-160.647382,"I48","I48",0.9,27,56.257,-160.649
57.769883,-160.05759,"J2","J 2",1.1,51,57.77,-160.062
57.571149,-160.076727,"J8","J 8",1.2,54,57.57,-160.078
57.405507,-160.092513,"J13","J13",1.4,60,57.405,-160.094
57.239838,-160.108152,"J18","J18",1.7,61,57.24,-160.109
57.074139,-160.123647,"J23","J23",1.9,64,57.074,-160.127
56.908409,-160.139001,"J28","J28",2,61,56.908,-160.142
56.742648,-160.154214,"J33","J33",1.8,61,56.743,-160.158
56.576855,-160.169289,"J38","J38",1.3,46,56.577,-160.168
57.425105,-159.626366,"K13","K13",0.9,57,57.425,-159.626
57.259501,-159.64417,"K18","K18",1,58,57.259,-159.645
57.093868,-159.66181,"K23","K23",1.4,56,57.094,-159.664
56.928204,-159.679289,"K28","K28",1.6,53,56.929,-159.679
56.01511,-162.0044,"F55","37289",2.67188482758621,56.4034517241379,56.0154,-162.006
56.21439,-161.996474,"F49","37290",2.62970566666667,78.1924933333333,56.2147,-161.997
56.446821,-161.987119,"F42","37291",2.47597433333333,77.27577,56.4473,-161.989
56.473601,-161.534332,"G41","37292",2.520812,68.5256766666667,56.4738,-161.534
56.30762,-161.543074,"G46","37293",2.47538485714286,63.5832114285714,56.3074,-161.543
56.141605,-161.551738,"G51","37294",2.43678263157895,53.5188671052632,56.1419,-161.552
56.166762,-161.102396,"H51","37295",1.55856807142857,38.7149871428571,56.1666,-161.102
56.399115,-161.087392,"H44","37296",2.31533432624113,60.1370581560284,56.399,-161.087
56.598223,-161.07438,"H38","37297",2.307355,70.3414415492958,56.5991,-161.075
56.484747,-162.43735,"E41","37298",2.44913360655738,74.4292327868853,56.4851,-162.44
56.683939,-162.43169,"E35","37299",2.27338967741935,70.9228564516129,56.6839,-162.433
56.916273,-162.425008,"E28","37300",2.00682258064516,64.1382790322581,56.9163,-162.426
56.48778,-162.889024,"D41","37301",2.52412550561798,78.9963280898876,56.4882,-162.89
56.65379,-162.886368,"D36","37302",2.36147011235955,72.5616146067416,56.654,-162.887
56.819768,-162.883688,"D31","37303",2.09458263736264,66.7754582417582,56.8199,-162.884
56.252296,-162.443876,"E48","37304",2.71006283783784,77.0945918918919,56.2524,-162.444
56.01978,-162.45032,"E55","37305",2.8638048,75.0495493333333,56.0202,-162.449
55.820424,-162.45578,"E61","37306",2.49006554054054,57.0298851351351,55.8208,-162.455
56.489119,-163.340751,"C41","37307",2.68111732394366,81.6199535211268,56.4896,-163.34
56.655135,-163.340153,"C36","37308",2.51855909090909,75.5161012987013,56.6558,-163.339
56.821119,-163.33955,"C31","37309",2.42708764705882,70.6202494117647,56.8218,-163.339
56.188879,-162.893743,"D50","37310",2.96275121212121,81.7626227272727,56.1885,-162.893
55.989551,-162.896847,"D56","37311",2.96463606060606,82.0467196969697,55.9893,-162.898
55.756937,-162.900427,"D63","37312",3.03301746268657,67.8320910447761,55.757,-162.901
56.521969,-163.792781,"B40","37313",2.39107391304348,80.3345333333333,56.5215,-163.793
56.687977,-163.794244,"B35","37314",2.09074253333333,74.533068,56.6878,-163.794
56.853954,-163.79572,"B30","37315",1.81795469135802,71.1853913580247,56.8539,-163.797
55.758251,-163.343318,"C63","37316",3.86293788732394,87.0690563380282,55.7583,-163.343
55.990873,-163.342512,"C56","37317",3.25353638888889,88.1937472222222,55.991,-163.344
56.190208,-163.341813,"C50","37318",3.1037777027027,87.204727027027,56.1906,-163.343
56.470112,-164.24385,"A41","37319",2.330672125,81.3339825,56.4702,-164.246
56.636121,-164.247365,"A36","37320",1.84692372093023,75.5279058139535,56.6362,-164.249
56.802098,-164.250911,"A31","37321",1.64724967391304,73.3096032608696,56.8023,-164.251
55.524251,-162.903962,"D70","37322",2.74158223684211,44.3399092105263,55.5238,-162.906
55.592049,-163.343887,"C68","37323",3.37939971014493,70.9019333333333,55.5927,-163.344
55.359302,-163.344676,"C75","37324",3.08867538461538,51.1019230769231,55.3598,-163.344
55.857606,-163.787061,"B60","37325",4.14289433333333,93.3515233333333,55.8576,-163.787
56.023748,-163.788472,"B55","37326",3.66939803030303,90.8128787878788,56.0237,-163.789
56.189856,-163.789895,"B50","37327",3.01558690140845,88.2292225352113,56.1894,-163.79
55.591702,-163.784829,"B68","37328",3.9380975,86.1222216666667,55.5921,-163.786
55.458714,-163.783725,"B72","37329",3.39658578125,85.1054671875,55.4594,-163.785
55.225926,-163.781812,"B79","37330",3.32047847222222,54.8005847222222,55.2264,-163.783
56.137997,-164.236916,"A51","37332",2.72221528301887,90.4216094339623,56.138,-164.237
55.971888,-164.233496,"A56","37333",2.9189129245283,92.1866358490566,55.9714,-164.234
55.805743,-164.230106,"A61","37334",4.07376679245283,94.7074226415094,55.8054,-164.23
57.351011,-160.56083,"I15","37339",1.7542259375,63.836846875,57.3518,-160.56
57.516717,-160.547252,"I10","37340",1.54874092307692,61.7287138461538,57.5176,-160.544
57.394202,-161.02088,"H14","37341",1.54376819672131,61.7775442622951,57.3936,-161.02
57.128952,-161.038977,"H22","37342",2.04001573770492,66.8194,57.1277,-161.038
56.830456,-161.059019,"H31","37343",2.24420306451613,74.4964016129032,56.8298,-161.059
57.435675,-161.482023,"G12","37344",2.18328016393443,53.3613131147541,57.4401,-161.482
57.634605,-161.470846,"G6","37345",1.55148754098361,53.269837704918,57.6358,-161.472
57.800352,-161.461435,"G1","37346",1.04349038709677,49.3122322580645,57.8,-161.463
57.77385,-161.931295,"F2","37347",0.669003861538462,49.1253815384615,57.7746,-161.928
57.37593,-161.948478,"F14","37348",1.43320606060606,48.7233560606061,57.3751,-161.946
57.513444,-162.407425,"E10","37350",0.539480134328358,48.2166671641791,57.5128,-162.41
57.612939,-162.404437,"E7","37351",0.486627485294118,48.12635,57.6112,-162.407
57.815044,-162.867081,"D1","37352",-0.705018507936508,43.6817444444444,57.8147,-162.866
57.483392,-162.87272,"D11","37353",0.109216890095238,49.5685174603175,57.4822,-162.873
57.184817,-162.877706,"D20","37354",1.181979453125,54.9807296875,57.1845,-162.88
57.118455,-162.878803,"D22","37355",1.133702703125,58.342453125,57.1175,-162.879
57.219361,-163.33808,"C19","37356",1.55964532258065,59.3293048387097,57.2203,-163.336
57.318897,-163.337707,"C16","37357",1.29909983606557,52.8551032786885,57.3195,-163.335
57.683411,-163.803309,"B5","37358",-0.9594785,48.5615596774194,57.6827,-163.802
57.650245,-163.802999,"B6","37359",-0.933733870967742,49.1196241935484,57.6497,-163.802
57.384884,-163.800536,"B14","37360",-0.171493425396825,56.8509222222222,57.3832,-163.801
56.986714,-163.796911,"B26","37361",1.58070888888889,68.2367777777778,56.9899,-163.786
57.465714,-164.265428,"A11","37362",-0.323404360655738,57.590168852459,57.4666,-164.265
57.598384,-164.268396,"A7","37363",-0.76040437704918,54.0274655737705,57.5983,-164.268
56.754729,-163.339792,"C33","37364",2.51129737704918,72.1483573770492,56.7562,-163.358
57.115371,-162.419212,"E22","37365",1.60228409836066,56.8990459016393,57.1229,-162.435
57.14855,-162.41824,"E21","37366",1.51838079365079,56.5127063492063,57.1371,-162.403
57.748659,-160.528028,"I3","37367",1.06409366666667,56.2966633333333,57.7486,-160.53
57.670521,-160.067185,"J5","37368",1.09387716666667,51.0602783333333,57.6693,-160.069
57.504896,-160.083059,"J10","37369",1.2598668852459,56.0344262295082,57.5043,-160.084
57.218427,-160.571603,"I19","37370",1.86052234375,64.6080734375,57.2186,-160.571
57.491338,-159.619198,"K11","37371",0.87196090625,51.2375046875,57.4898,-159.62
57.325746,-159.637068,"K16","37372",0.8191875625,56.5390640625,57.3244,-159.639
57.226377,-159.647711,"K19","37373",1.046273609375,57.1319,57.2246,-159.649
56.654728,-160.61651,"I36","37374",2.10642420382166,66.4481388535032,56.6558,-160.618
56.775803,-160.151183,"J32","37375",1.7650615625,58.4247703125,56.7765,-160.154
57.00785,-160.129806,"J25","37376",1.91312515625,64.3533828125,57.009,-160.131
57.272974,-160.105036,"J17","37377",1.60120015384615,61.1423076923077,57.2729,-160.107
56.322967,-160.642283,"I46","37378",1.2245071875,36.4151,56.324,-160.645
56.838645,-161.514818,"G30","37379",2.78277236111111,78.2925430555556,56.8357,-161.512
56.488864,-160.629455,"I41","37380",1.96501915254237,55.4318728813559,56.4903,-160.629
57.011034,-161.963896,"F25","37381",1.97166813559322,61.5412474576271,57.0113,-161.966
57.170374,-161.496733,"G20","37382",2.24452940298507,62.7437910447761,57.1694,-161.488
57.004524,-161.505817,"G25","37383",2.4956276056338,70.3140112676056,57.0028,-161.492
56.679188,-161.977643,"F35","37384",2.290055,75.3794827586207,56.6788,-161.978
56.845126,-161.970801,"F30","37385",2.15148288135593,71.9282525423729,56.8457,-161.97
